variables,higher_limit,lower_limit,levels_to_check
read1_total_reads_retention,100,97,low
read2_total_reads_retention,100,97,low
total_q30_before_after_comp,1.5,0,"high,low"
total_q20_before_after_comp,1,0,"high,low"
total_gc_before_after_comp,1,0,"high,low"
total_reads_before_after_comp,1,0,"high,low"
total_bases_before_after_comp,15,0,"high,low"
duplication_rate,20,1,high
low_quality_reads,600000,0,high
too_many_N_reads,20000,0,high
too_short_reads,7000,0,high
read1_length_loss,15,1,high
read2_length_loss,15,1,high
percentage_reads_survived,100,97,low
percentage_bases_survived,100,97,low
insert_size,200,125,low
adapter_timmed_reads_percentage,50,1,high
