,12251380_S16,12256658_S4,12254624_S2,12256228_S6,12258993_S11,12260000_S12,12258180_S8,12255898_S3,12251372_S1,12258083_S9
read1_total_reads_retention,74.14110965062135,73.21156273546647,74.00931970323417,75.14967436450532,73.91149175845086,75.10828147260025,73.60676554438506,73.58514822044823,74.45964437144622,73.89792222707268
read2_total_reads_retention,74.14110965062135,73.21156273546647,74.00931970323417,75.14967436450532,73.91149175845086,75.10828147260025,73.60676554438506,73.58514822044823,74.45964437144622,73.89792222707268
total_q30_before_after_comp,6.264523758354307,6.179461108286726,6.2165756966998424,6.445315806402465,5.991923431587653,6.388366816515554,6.161048570102792,6.077077091954483,6.171692207694276,6.003240295019525
total_q20_before_after_comp,5.743985599494031,5.726225125683158,5.70305336698015,5.827135869884685,5.560337791458682,5.7903179552448885,5.691665221927196,5.6188437699712965,5.647709761424819,5.566371789099669
total_gc_before_after_comp,-5.912591828385433,-5.740103495226454,-5.755014062929877,-6.149470419638127,-5.560198934196397,-6.124452469848877,-5.756822240494045,-5.501402216380778,-5.81812784484466,-5.546183896170984
total_reads_before_after_comp,25.858890349378655,26.78843726453352,25.990680296765838,24.85032563549468,26.088508241549142,24.891718527399757,26.393234455614945,26.414851779551768,25.540355628553773,26.102077772927316
total_bases_before_after_comp,29.810051120183385,28.839711025554532,29.114502250720754,31.09622096308795,27.935016192846135,30.82787292282662,28.79780984474444,28.014279836848367,29.011002980506028,27.99687277751034
duplication_rate,9.04683,9.81051,9.89399,8.35482,9.78976,8.9404,9.05433,8.89702,8.49112,8.63641
low_quality_reads,10681714.0,12492488.0,12757532.0,5818696.0,12314592.0,9123396.0,10007692.0,12763918.0,8363792.0,8314988.0
too_many_N_reads,8351430.0,10307210.0,9950548.0,4124546.0,10170478.0,6644958.0,8120972.0,10503730.0,6445458.0,6828146.0
too_short_reads,14.0,24.0,20.0,2.0,10.0,18.0,20.0,20.0,8.0,12.0
read1_length_loss,5.960264900662252,3.3112582781456954,4.635761589403973,8.609271523178808,2.6490066225165565,7.9470198675496695,3.3112582781456954,2.6490066225165565,5.298013245033113,2.6490066225165565
read2_length_loss,5.960264900662252,3.3112582781456954,4.635761589403973,8.609271523178808,2.6490066225165565,7.9470198675496695,3.3112582781456954,2.6490066225165565,5.298013245033113,2.6490066225165565
percentage_reads_survived,74.14110965062135,73.21156273546647,74.00931970323417,75.14967436450532,73.91149175845086,75.10828147260025,73.60676554438506,73.58514822044823,74.45964437144622,73.89792222707268
percentage_bases_survived,70.18994887981661,71.16028897444546,70.88549774927925,68.90377903691206,72.06498380715387,69.17212707717337,71.20219015525556,71.98572016315164,70.98899701949397,72.00312722248967
insert_size,157.0,179.0,168.0,136.0,178.0,136.0,178.0,189.0,158.0,178.0
adapter_timmed_reads_percentage,28.691236624829948,16.40348625213561,23.67055302769032,40.88225613326625,14.44061842713483,38.84262774826946,18.964720472008764,12.73215044392297,23.232690437208294,15.438281255682787
